time_ms,cpu_usage,active_workers,completed
19273,95,7,592
19283,95,7,592
19293,95,7,592
19303,85,6,596
19313,100,5,599
19324,100,5,599
19334,100,5,599
19344,100,5,599
19355,100,5,599
19365,100,5,599
19375,100,5,599
19385,100,5,599
19395,100,5,599
19406,100,5,599
19416,100,5,599
19427,100,5,599
19437,100,5,599
19447,100,5,599
19457,100,5,599
19468,100,5,599
19478,100,5,599
19488,100,5,599
19499,100,5,601
19509,85,6,604
19519,85,6,604
19529,85,6,604
19540,85,6,604
19550,85,6,604
19560,85,6,604
19570,85,6,604
19581,85,6,604
19591,85,6,604
19601,85,6,604
19611,85,6,604
19622,85,6,604
19632,85,6,604
19642,85,6,604
19652,85,6,604
19662,85,6,604
19672,85,6,604
19683,85,6,604
19693,85,6,604
19703,90,4,609
19713,100,5,610
19723,100,5,610
19734,100,5,610
19744,100,5,610
19754,100,5,610
19764,100,5,610
19774,100,5,610
19785,100,5,610
19795,100,5,610
19805,100,5,610
19815,100,5,610
19826,100,5,610
19836,100,5,610
19846,100,5,610
19856,100,5,610
19867,100,5,610
19877,100,5,610
19887,100,5,610
19897,100,5,610
19908,100,5,613
19918,95,7,615
19928,95,7,615
19939,95,7,615
19949,95,7,615
19959,95,7,615
19969,95,7,615
19980,95,7,615
19990,95,7,615
20000,95,7,615
20011,95,7,615
20021,95,7,615
20031,95,7,615
20041,95,7,615
20052,95,7,615
20062,95,7,615
20072,95,7,615
20082,95,7,615
20093,95,7,615
20103,70,7,618
20113,80,8,622
20123,80,8,622
20134,80,8,622
20144,80,8,622
20154,80,8,622
20165,80,8,622
20175,80,8,622
20185,80,8,622
20195,80,8,622
20206,80,8,622
20216,80,8,622
20226,80,8,622
20236,80,8,622
20246,80,8,622
20257,80,8,622
20267,80,8,622
20277,80,8,622
20288,80,8,622
20298,80,8,622
20308,80,8,626
20319,95,7,630
20329,95,7,630
20339,95,7,630
20349,95,7,630
20359,95,7,630
20370,95,7,630
20380,95,7,630
20390,95,7,630
20401,95,7,630
20411,95,7,630
20421,95,7,630
20431,95,7,630
20441,95,7,630
20452,95,7,630
20462,95,7,630
20472,95,7,630
20483,95,7,630
20495,95,7,630
20506,100,5,634
20516,100,5,635
20527,95,7,637
20537,95,7,637
20547,95,7,637
20558,95,7,637
20568,95,7,637
20578,95,7,637
20588,95,7,637
20598,95,7,637
20609,95,7,637
20619,95,7,637
20629,95,7,637
20639,95,7,637
20650,95,7,637
20660,95,7,637
20670,95,7,637
20680,95,7,637
20691,95,7,637
20701,95,7,637
20711,95,7,640
20721,85,6,644
20732,95,7,644
20742,95,7,644
20752,95,7,644
20762,95,7,644
20773,95,7,644
20784,95,7,644
20794,95,7,644
20804,95,7,644
20814,95,7,644
20825,95,7,644
20835,95,7,644
20845,95,7,644
20855,95,7,644
20866,95,7,644
20876,95,7,644
20886,95,7,644
20897,95,7,644
20907,70,7,646
20917,80,8,647
20928,80,8,651
20938,80,8,651
20948,80,8,651
20958,80,8,651
20969,80,8,651
20979,80,8,651
20989,80,8,651
21003,80,8,651
21017,80,8,651
21029,80,8,651
21039,80,8,651
21050,80,8,651
21060,80,8,651
21070,80,8,651
21081,80,8,651
21091,80,8,651
21101,80,8,651
21111,80,8,654
21122,80,8,657
21132,70,7,659
21142,70,7,659
21152,70,7,659
21162,70,7,659
21173,70,7,659
21183,70,7,659
21193,70,7,659
21203,70,7,659
21213,70,7,659
21224,70,7,659
21234,70,7,659
21244,70,7,659
21254,70,7,659
21264,70,7,659
21274,70,7,659
21285,70,7,659
21295,70,7,659
21305,70,7,659
21315,100,5,663
21325,90,4,666
21335,90,4,666
21346,90,4,666
21356,90,4,666
21366,90,4,666
21376,90,4,666
21386,90,4,666
21397,90,4,666
21407,90,4,666
21417,90,4,666
21428,90,4,666
21438,90,4,666
21448,90,4,666
21458,90,4,666
21469,90,4,666
21479,90,4,666
21489,90,4,666
21499,90,4,666
21510,100,5,667
21520,85,6,668
21530,100,5,670
21540,100,5,670
21551,100,5,670
21561,100,5,670
21571,100,5,670
